umap_1	umap_2	cell_type	cell_type_broad	tissue	subtype
-12.565165519714355	0.950262725353241	B cell	B cell	LN	SCLC-A
-1.7743422985076904	-3.1318819522857666	CD4+ Tconv	T cells	liver	SCLC-N
2.3589913845062256	1.7542065382003784	CD4+ Tconv	T cells	pleural_effusion	SCLC-A
4.010983943939209	-5.486238956451416	CD8+ Teff	T cells	LN	SCLC-A
2.4752981662750244	-1.150903582572937	CD8+ Tmem	T cells	lung	SCLC-A
-12.993489265441895	1.116225242614746	B cell	B cell	LN	SCLC-A
9.547886848449707	-2.887788772583008	Tgd	T cells	pleural_effusion	SCLC-A
-7.560835361480713	-6.26899528503418	CD8+ Tmem	T cells	lung	SCLC-A
-12.868026733398438	1.0697474479675293	B cell	B cell	LN	SCLC-A
9.49183464050293	-3.3808743953704834	CD4+ Tconv	T cells	pleural_effusion	SCLC-A
-6.42001485824585	-6.746938705444336	CD4+ Tconv	T cells	lung	SCLC-A
8.637632369995117	-2.585721015930176	NK	NK	pleural_effusion	SCLC-A
2.6832070350646973	-0.06042616441845894	CD8+ Tmem	T cells	lung	SCLC-A
-6.501715183258057	-5.482248306274414	CD4+ Treg	T cells	lung	SCLC-A
3.5672292709350586	-2.4747517108917236	CD8+ Texh	T cells	lung	SCLC-A
3.7159476280212402	-2.0517663955688477	CD8+ Tmem	T cells	lung	SCLC-A
2.4289586544036865	2.0262837409973145	CD4+ Tconv	T cells	pleural_effusion	SCLC-A
2.55422306060791	2.0210158824920654	CD4+ Tconv	T cells	pleural_effusion	SCLC-A
5.410710334777832	10.379209518432617	Neutrophil	Myeloid	LN	SCLC-A
2.411763906478882	-4.767350196838379	CD8+ Tmem	T cells	liver	SCLC-N
-1.2518786191940308	10.792696952819824	Mono/Mφ	Myeloid	lung	SCLC-A
7.893955230712891	-2.85903263092041	Tgd	T cells	LN	SCLC-A
9.552616119384766	-2.703439235687256	Tgd	T cells	pleural_effusion	SCLC-A
-6.767821311950684	-5.973634719848633	CD4+ Tconv	T cells	lung	SCLC-A
0.5306313633918762	1.032328724861145	CD8+ Tmem	T cells	liver	SCLC-N
2.876775026321411	-2.0666234493255615	CD4+ Treg	T cells	lung	SCLC-A
2.618335247039795	-0.7429593205451965	CD8+ Teff	T cells	LN	SCLC-A
-0.35856208205223083	1.0654199123382568	CD4+ Tconv	T cells	pleural_effusion	SCLC-N
-6.5138654708862305	-6.217160224914551	CD4+ Tconv	T cells	lung	SCLC-A
2.3320508003234863	1.5767098665237427	CD4+ Tconv	T cells	pleural_effusion	SCLC-A
5.242676734924316	10.044981956481934	Neutrophil	Myeloid	liver	SCLC-A
2.471153974533081	1.0425114631652832	CD4+ Tconv	T cells	pleural_effusion	SCLC-A
-1.470239520072937	-4.217883110046387	CD4+ Tconv	T cells	lung	SCLC-A
-0.029567236080765724	1.2249042987823486	CD4+ Tconv	T cells	pleural_effusion	SCLC-N
2.8743441104888916	1.4125040769577026	CD4+ Tconv	T cells	pleural_effusion	SCLC-A
7.089194297790527	-2.581644058227539	CD8+ Tmem	T cells	lung	SCLC-A
-1.1980020999908447	10.8018217086792	Mono/Mφ	Myeloid	lung	SCLC-A
1.723073959350586	-4.662092208862305	CD8+ Tmem	T cells	liver	SCLC-N
8.986928939819336	-2.9888033866882324	Tgd	T cells	pleural_effusion	SCLC-A
-0.4376625120639801	-2.8438873291015625	CD4+ Tconv	T cells	liver	SCLC-N
1.67266845703125	-5.503742694854736	CD8+ Tmem	T cells	liver	SCLC-A
3.556760311126709	-2.0356366634368896	CD8+ Tmem	T cells	lung	SCLC-A
9.607826232910156	-3.445852518081665	CD4+ Tconv	T cells	pleural_effusion	SCLC-A
8.449861526489258	-1.7331923246383667	NK	NK	LN	SCLC-A
3.2320778369903564	-1.967712640762329	CD8+ Tmem	T cells	lung	SCLC-A
-6.36862325668335	-6.571201801300049	CD4+ Tconv	T cells	lung	SCLC-A
3.632599353790283	-1.9552580118179321	CD8+ Tmem	T cells	lung	SCLC-A
3.6007299423217773	-2.5776398181915283	CD8+ Texh	T cells	lung	SCLC-A
-6.82477331161499	-5.660589218139648	CD4+ Treg	T cells	lung	SCLC-A
9.62500286102295	-2.7474162578582764	Tgd	T cells	pleural_effusion	SCLC-A
9.4528045654296875	-3.0951120853424072	Tgd	T cells	pleural_effusion	SCLC-A
9.4186429977417	-3.0825369358062744	Tgd	T cells	pleural_effusion	SCLC-A
