umap_1	umap_2	cell_type	cell_type_broad	tissue	subtype
8.450145721435547	-3.059333562850952	Tgd	T cells	pleural_effusion	SCLC-A
-1.9988305568695068	-2.7090909481048584	CD4+ Treg	T cells	liver	SCLC-N
2.6610774993896484	1.9111192226409912	CD4+ Tconv	T cells	pleural_effusion	SCLC-A
-12.002557754516602	0.6774452924728394	B cell	B cell	LN	SCLC-A
2.8765125274658203	1.9560478925704956	CD4+ Tconv	T cells	pleural_effusion	SCLC-A
-5.513960361480713	-6.143235206604004	CD8+ Tmem	T cells	lung	SCLC-A
-9.079081535339355	6.7426533699035645	pDC	Myeloid	pleural_effusion	SCLC-A
9.773354530334473	-2.8015379905700684	Tgd	T cells	pleural_effusion	SCLC-A
-12.127184867858887	1.2427221536636353	Plasma cell	B cell	lung	SCLC-A
-12.951613426208496	1.087871789932251	B cell	B cell	LN	SCLC-A
8.33919620513916	-3.0671191215515137	Tgd	T cells	pleural_effusion	SCLC-A
3.5518558025360107	-2.3772025108337402	CD8+ Tmem	T cells	lung	SCLC-A
