cell_type	gene	counts	avg	Freq	perc_expr
B cell	HMGB1	353	2.5952112819925586	353	1
pDC	HMGB1	78	2.5401375049199815	78	1
CD4+ Treg	HMGB1	275	2.5634389383142646	275	1
CD8+ Texh	HMGB1	50	3.9974115562438963	50	1
Mast	HMGB1	20	1.523013174533844	20	1
Plasma cell	HMGB1	9	2.3285171853171454	9	1
Tgd	ICAM1	733	-3.0280934936515633	733	1
CD8+ Tmem	ICAM1	1547	-3.0963363670578445	1547	1
cDC	ICAM1	31	-1.6211014409219064	31	1
Mono/Mφ	ICAM1	396	-2.3497366075864945	396	1
CD4+ Tconv	ICAM1	1876	-3.207648769751795	1876	1
NK	ICAM1	247	-2.8411228854646566	247	1
Neutrophil	ICAM1	403	-1.4477108980230895	403	1
CD8+ Teff	ICAM1	120	-3.2281400740146635	120	1
B cell	ICAM1	353	-3.000747119738765	353	1
pDC	ICAM1	78	-2.3091511711096153	78	1
CD4+ Treg	ICAM1	275	-3.090903779376637	275	1
CD8+ Texh	ICAM1	50	-3.0438667404651643	50	1
Mast	ICAM1	20	-1.0693363964557647	20	1
Plasma cell	ICAM1	9	-2.2775801155302258	9	1
Tgd	ICOS	733	-3.2688708807891906	733	1
CD8+ Tmem	ICOS	1547	-2.2889949383085284	1547	1
cDC	ICOS	31	-3.321928024291992	31	1
Mono/Mφ	ICOS	396	-3.29935663908419	396	1
CD4+ Tconv	ICOS	1876	-2.146508147658061	1876	1
NK	ICOS	247	-3.257780669189175	247	1
Neutrophil	ICOS	403	-3.3044881276398086	403	1
CD8+ Teff	ICOS	120	-3.0652347564697267	120	1
B cell	ICOS	353	-3.321928024291992	353	1
pDC	ICOS	78	-3.321928024291992	78	1
CD4+ Treg	ICOS	275	-0.140465351451527	275	1
CD8+ Texh	ICOS	50	-1.1859325861930847	50	1
Mast	ICOS	20	-3.321928024291992	20	1
Plasma cell	ICOS	9	-3.321928024291992	9	1
Tgd	ICOSLG	733	-3.3141196102595103	733	1
CD8+ Tmem	ICOSLG	1547	-3.3069570379713387	1547	1
cDC	ICOSLG	31	-2.602115185030045	31	1
Mono/Mφ	ICOSLG	396	-3.1494902682424795	396	1
CD4+ Tconv	ICOSLG	1876	-3.2724029668040875	1876	1
NK	ICOSLG	247	-3.321928024291992	247	1
Neutrophil	ICOSLG	403	-3.302942784785041	403	1
CD8+ Teff	ICOSLG	120	-3.321928024291992	120	1
B cell	ICOSLG	353	-2.8995555916183733	353	1
pDC	ICOSLG	78	-2.947532079158685	78	1
CD4+ Treg	ICOSLG	275	-3.1891885126720774	275	1
CD8+ Texh	ICOSLG	50	-3.321928024291992	50	1
Mast	ICOSLG	20	-3.321928024291992	20	1
Plasma cell	ICOSLG	9	-2.7779141002231174	9	1
Tgd	IDO1	733	-3.321928024291992	733	1
CD8+ Tmem	IDO1	1547	-3.318687291783368	1547	1
cDC	IDO1	31	-0.6689087863891355	31	1
Mono/Mφ	IDO1	396	-2.597999234693219	396	1
CD4+ Tconv	IDO1	1876	-3.3183333634821843	1876	1
NK	IDO1	247	-3.321928024291992	247	1
Neutrophil	IDO1	403	-3.088739275044898	403	1
CD8+ Teff	IDO1	120	-3.321928024291992	120	1
B cell	IDO1	353	-3.321928024291992	353	1
pDC	IDO1	78	-3.321928024291992	78	1
CD4+ Treg	IDO1	275	-3.30304886341095	275	1
CD8+ Texh	IDO1	50	-3.321928024291992	50	1
Mast	IDO1	20	-3.321928024291992	20	1
Plasma cell	IDO1	9	-3.321928024291992	9	1
Tgd	IFNG	733	-3.2363654529576737	733	1
CD8+ Tmem	IFNG	1547	-1.8512642679479558	1547	1
cDC	IFNG	31	-3.190499690271193	31	1
Mono/Mφ	IFNG	396	-3.277119487222999	396	1
CD4+ Tconv	IFNG	1876	-2.9385764569616013	1876	1
NK	IFNG	247	-2.6922745328200492	247	1
Neutrophil	IFNG	403	-3.321928024291992	403	1
CD8+ Teff	IFNG	120	-2.032654802004496	120	1
B cell	IFNG	353	-3.321928024291992	353	1
pDC	IFNG	78	-3.321928024291992	78	1
CD4+ Treg	IFNG	275	-2.7141732454299925	275	1
CD8+ Texh	IFNG	50	-0.5900285148620605	50	1
Mast	IFNG	20	-3.321928024291992	20	1
Plasma cell	IFNG	9	-2.878434658050537	9	1
Tgd	IL10	733	-3.321928024291992	733	1
CD8+ Tmem	IL10	1547	-3.1807441874789513	1547	1
cDC	IL10	31	-3.321928024291992	31	1
Mono/Mφ	IL10	396	-2.975919937545603	396	1
CD4+ Tconv	IL10	1876	-3.2927456128317663	1876	1
NK	IL10	247	-3.0989453252027874	247	1
Neutrophil	IL10	403	-3.321928024291992	403	1
CD8+ Teff	IL10	120	-3.2731291075547535	120	1
B cell	IL10	353	-3.3070470621498043	353	1
pDC	IL10	78	-3.321928024291992	78	1
CD4+ Treg	IL10	275	-2.9834121760455043	275	1
CD8+ Texh	IL10	50	-3.116992726325989	50	1
Mast	IL10	20	-3.321928024291992	20	1
Plasma cell	IL10	9	-3.321928024291992	9	1
Tgd	IL12A	733	-3.321928024291992	733	1
CD8+ Tmem	IL12A	1547	-3.314401846973836	1547	1
cDC	IL12A	31	-3.321928024291992	31	1
Mono/Mφ	IL12A	396	-3.321928024291992	396	1
CD4+ Tconv	IL12A	1876	-3.312366874741593	1876	1
NK	IL12A	247	-3.321928024291992	247	1
Neutrophil	IL12A	403	-3.321928024291992	403	1
CD8+ Teff	IL12A	120	-3.321928024291992	120	1
B cell	IL12A	353	-3.2727503273372274	353	1
pDC	IL12A	78	-3.321928024291992	78	1
CD4+ Treg	IL12A	275	-3.321928024291992	275	1
CD8+ Texh	IL12A	50	-3.2285904574394224	50	1
Mast	IL12A	20	-3.321928024291992	20	1
Plasma cell	IL12A	9	-3.321928024291992	9	1
Tgd	IL13	733	-3.314132578864104	733	1
CD8+ Tmem	IL13	1547	-3.3177297512947086	1547	1
cDC	IL13	31	-3.321928024291992	31	1
Mono/Mφ	IL13	396	-3.321928024291992	396	1
CD4+ Tconv	IL13	1876	-3.318800078272057	1876	1
NK	IL13	247	-3.321928024291992	247	1
Neutrophil	IL13	403	-3.321928024291992	403	1
CD8+ Teff	IL13	120	-3.321928024291992	120	1
B cell	IL13	353	-3.321928024291992	353	1
pDC	IL13	78	-3.321928024291992	78	1
CD4+ Treg	IL13	275	-3.321928024291992	275	1
CD8+ Texh	IL13	50	-3.321928024291992	50	1
Mast	IL13	20	-3.044622302055359	20	1
Plasma cell	IL13	9	-3.321928024291992	9	1
Tgd	IL1A	733	-3.321928024291992	733	1
CD8+ Tmem	IL1A	1547	-3.321928024291992	1547	1
cDC	IL1A	31	-3.2005052701119454	31	1
Mono/Mφ	IL1A	396	-3.1728558001494167	396	1
CD4+ Tconv	IL1A	1876	-3.321928024291992	1876	1
NK	IL1A	247	-3.321928024291992	247	1
Neutrophil	IL1A	403	-3.227827489228166	403	1
CD8+ Teff	IL1A	120	-3.321928024291992	120	1
B cell	IL1A	353	-3.3059105778550966	353	1
pDC	IL1A	78	-3.321928024291992	78	1
CD4+ Treg	IL1A	275	-3.321928024291992	275	1
CD8+ Texh	IL1A	50	-3.321928024291992	50	1
Mast	IL1A	20	-3.321928024291992	20	1
Plasma cell	IL1A	9	-3.321928024291992	9	1
Tgd	IL1B	733	-3.321928024291992	733	1
CD8+ Tmem	IL1B	1547	-3.315401330715468	1547	1
cDC	IL1B	31	-1.8827287381695164	31	1
Mono/Mφ	IL1B	396	-0.7344133748550608	396	1
CD4+ Tconv	IL1B	1876	-3.318472543250777	1876	1
NK	IL1B	247	-3.302007311751485	247	1
Neutrophil	IL1B	403	-1.7407371607371063	403	1
CD8+ Teff	IL1B	120	-3.321928024291992	120	1
B cell	IL1B	353	-3.3054717742012176	353	1
pDC	IL1B	78	-3.258635001304822	78	1
CD4+ Treg	IL1B	275	-3.321928024291992	275	1
CD8+ Texh	IL1B	50	-3.321928024291992	50	1
Mast	IL1B	20	-3.0636488437652587	20	1
Plasma cell	IL1B	9	-2.8079736497667103	9	1
Tgd	IL2	733	-3.314513908076579	733	1
CD8+ Tmem	IL2	1547	-3.283429872011013	1547	1
cDC	IL2	31	-3.321928024291992	31	1
Mono/Mφ	IL2	396	-3.321928024291992	396	1
CD4+ Tconv	IL2	1876	-3.2129984587621587	1876	1
NK	IL2	247	-3.321928024291992	247	1
Neutrophil	IL2	403	-3.321928024291992	403	1
CD8+ Teff	IL2	120	-3.321928024291992	120	1
B cell	IL2	353	-3.321928024291992	353	1
pDC	IL2	78	-3.321928024291992	78	1
CD4+ Treg	IL2	275	-3.3021790088306773	275	1
CD8+ Texh	IL2	50	-3.2296642565727236	50	1
Mast	IL2	20	-3.321928024291992	20	1
Plasma cell	IL2	9	-3.321928024291992	9	1
Tgd	IL2RA	733	-3.212011538293482	733	1
CD8+ Tmem	IL2RA	1547	-3.207566459947967	1547	1
cDC	IL2RA	31	-3.321928024291992	31	1
Mono/Mφ	IL2RA	396	-2.996496812261716	396	1
CD4+ Tconv	IL2RA	1876	-2.7372833474803326	1876	1
NK	IL2RA	247	-3.154992819315026	247	1
Neutrophil	IL2RA	403	-3.321928024291992	403	1
CD8+ Teff	IL2RA	120	-3.321928024291992	120	1
B cell	IL2RA	353	-3.1727049212280143	353	1
pDC	IL2RA	78	-3.265446302218315	78	1
CD4+ Treg	IL2RA	275	-1.2632349612496117	275	1
CD8+ Texh	IL2RA	50	-3.1251666069030763	50	1
Mast	IL2RA	20	-3.321928024291992	20	1
Plasma cell	IL2RA	9	-3.321928024291992	9	1
Tgd	IL4	733	-3.321928024291992	733	1
CD8+ Tmem	IL4	1547	-3.300406601865136	1547	1
cDC	IL4	31	-3.321928024291992	31	1
Mono/Mφ	IL4	396	-3.321928024291992	396	1
CD4+ Tconv	IL4	1876	-3.321928024291992	1876	1
NK	IL4	247	-3.321928024291992	247	1
Neutrophil	IL4	403	-3.321928024291992	403	1
CD8+ Teff	IL4	120	-3.321928024291992	120	1
B cell	IL4	353	-3.321928024291992	353	1
pDC	IL4	78	-3.321928024291992	78	1
CD4+ Treg	IL4	275	-3.321928024291992	275	1
CD8+ Texh	IL4	50	-3.321928024291992	50	1
Mast	IL4	20	-3.321928024291992	20	1
Plasma cell	IL4	9	-3.321928024291992	9	1
Tgd	ITGB2	733	1.1653237848620135	733	1
CD8+ Tmem	ITGB2	1547	-1.0647736478021397	1547	1
cDC	ITGB2	31	1.1391618492141846	31	1
Mono/Mφ	ITGB2	396	0.043299450341499214	396	1
CD4+ Tconv	ITGB2	1876	-0.8473595621616348	1876	1
NK	ITGB2	247	0.6623491391479245	247	1
Neutrophil	ITGB2	403	-2.1442496894902687	403	1
CD8+ Teff	ITGB2	120	0.5123897075653077	120	1
B cell	ITGB2	353	-2.254588834962494	353	1
pDC	ITGB2	78	-1.607610401434776	78	1
CD4+ Treg	ITGB2	275	-0.5512614169987765	275	1
CD8+ Texh	ITGB2	50	0.6138111805915832	50	1
Mast	ITGB2	20	-3.321928024291992	20	1
Plasma cell	ITGB2	9	-1.7547198136647542	9	1
Tgd	KIR2DL1	733	-3.1890584721571753	733	1
CD8+ Tmem	KIR2DL1	1547	-3.2943132578671634	1547	1
cDC	KIR2DL1	31	-3.321928024291992	31	1
Mono/Mφ	KIR2DL1	396	-3.321928024291992	396	1
CD4+ Tconv	KIR2DL1	1876	-3.321928024291992	1876	1
NK	KIR2DL1	247	-2.9237015937504016	247	1
Neutrophil	KIR2DL1	403	-3.321928024291992	403	1
CD8+ Teff	KIR2DL1	120	-3.281417421499888	120	1
B cell	KIR2DL1	353	-3.321928024291992	353	1
pDC	KIR2DL1	78	-3.321928024291992	78	1
CD4+ Treg	KIR2DL1	275	-3.321928024291992	275	1
CD8+ Texh	KIR2DL1	50	-3.321928024291992	50	1
Mast	KIR2DL1	20	-3.321928024291992	20	1
Plasma cell	KIR2DL1	9	-3.321928024291992	9	1
Tgd	KIR2DL3	733	-2.783145774923275	733	1
CD8+ Tmem	KIR2DL3	1547	-3.1735040310820843	1547	1
cDC	KIR2DL3	31	-3.189637582148275	31	1
Mono/Mφ	KIR2DL3	396	-3.321928024291992	396	1
CD4+ Tconv	KIR2DL3	1876	-3.310186858052638	1876	1
NK	KIR2DL3	247	-2.181643382257778	247	1
Neutrophil	KIR2DL3	403	-3.321928024291992	403	1
CD8+ Teff	KIR2DL3	120	-2.8470032423734666	120	1
B cell	KIR2DL3	353	-3.321928024291992	353	1
pDC	KIR2DL3	78	-3.321928024291992	78	1
CD4+ Treg	KIR2DL3	275	-3.321928024291992	275	1
CD8+ Texh	KIR2DL3	50	-2.9542122364044188	50	1
Mast	KIR2DL3	20	-3.321928024291992	20	1
Plasma cell	KIR2DL3	9	-3.321928024291992	9	1
Tgd	LAG3	733	-3.2480917394893067	733	1
CD8+ Tmem	LAG3	1547	-0.410036937548564	1547	1
cDC	LAG3	31	-2.862735452190522	31	1
Mono/Mφ	LAG3	396	-3.108448086814447	396	1
CD4+ Tconv	LAG3	1876	-2.9172541329474337	1876	1
NK	LAG3	247	-2.2869393859315017	247	1
Neutrophil	LAG3	403	-3.3019833292617986	403	1
CD8+ Teff	LAG3	120	-1.0314412703116735	120	1
B cell	LAG3	353	-3.2955622443396377	353	1
pDC	LAG3	78	-2.6450713995175485	78	1
CD4+ Treg	LAG3	275	-0.8011919251355258	275	1
CD8+ Texh	LAG3	50	1.6534202802181244	50	1
Mast	LAG3	20	-3.321928024291992	20	1
Plasma cell	LAG3	9	-2.170844872792562	9	1
Tgd	MICA	733	-3.192987020962235	733	1
CD8+ Tmem	MICA	1547	-3.0543337803774677	1547	1
cDC	MICA	31	-3.165732652910294	31	1
Mono/Mφ	MICA	396	-3.2781619902211006	396	1
CD4+ Tconv	MICA	1876	-3.1026140982026993	1876	1
NK	MICA	247	-3.2276695850889694	247	1
Neutrophil	MICA	403	-3.2287924455353996	403	1
CD8+ Teff	MICA	120	-3.092290801803271	120	1
B cell	MICA	353	-3.052215535985174	353	1
pDC	MICA	78	-3.321928024291992	78	1
CD4+ Treg	MICA	275	-3.1623335777629507	275	1
CD8+ Texh	MICA	50	-3.321928024291992	50	1
Mast	MICA	20	-3.321928024291992	20	1
Plasma cell	MICA	9	-3.321928024291992	9	1
Tgd	MICB	733	-3.2036093775930055	733	1
CD8+ Tmem	MICB	1547	-3.099583506738284	1547	1
cDC	MICB	31	-2.924027814019111	31	1
Mono/Mφ	MICB	396	-3.2075870717414703	396	1
CD4+ Tconv	MICB	1876	-3.1763667243121785	1876	1
NK	MICB	247	-3.134285999937096	247	1
Neutrophil	MICB	403	-3.3018111815819373	403	1
CD8+ Teff	MICB	120	-2.957172794143359	120	1
B cell	MICB	353	-3.0908454960533986	353	1
pDC	MICB	78	-3.260233986072051	78	1
CD4+ Treg	MICB	275	-3.1312519719383936	275	1
CD8+ Texh	MICB	50	-2.7726053965091704	50	1
Mast	MICB	20	-3.321928024291992	20	1
Plasma cell	MICB	9	-2.8661145038074918	9	1
Tgd	PDCD1	733	-3.3136418633376428	733	1
CD8+ Tmem	PDCD1	1547	-2.296106474239285	1547	1
cDC	PDCD1	31	-3.321928024291992	31	1
Mono/Mφ	PDCD1	396	-3.3048408350559195	396	1
CD4+ Tconv	PDCD1	1876	-2.753380866065971	1876	1
NK	PDCD1	247	-3.3009569741453717	247	1
Neutrophil	PDCD1	403	-3.3045564857369323	403	1
CD8+ Teff	PDCD1	120	-2.8831921994686125	120	1
B cell	PDCD1	353	-3.3051900796106786	353	1
pDC	PDCD1	78	-3.321928024291992	78	1
CD4+ Treg	PDCD1	275	-2.2209731541980395	275	1
CD8+ Texh	PDCD1	50	-1.1076051604747772	50	1
Mast	PDCD1	20	-3.321928024291992	20	1
Plasma cell	PDCD1	9	-3.321928024291992	9	1
Tgd	PDCD1LG2	733	-3.313914741370395	733	1
CD8+ Tmem	PDCD1LG2	1547	-3.3180516863454907	1547	1
cDC	PDCD1LG2	31	-2.769199865479623	31	1
Mono/Mφ	PDCD1LG2	396	-3.2394798802908022	396	1
CD4+ Tconv	PDCD1LG2	1876	-3.295857859064521	1876	1
NK	PDCD1LG2	247	-3.321928024291992	247	1
Neutrophil	PDCD1LG2	403	-3.291550432777878	403	1
CD8+ Teff	PDCD1LG2	120	-3.321928024291992	120	1
B cell	PDCD1LG2	353	-3.321928024291992	353	1
pDC	PDCD1LG2	78	-3.321928024291992	78	1
CD4+ Treg	PDCD1LG2	275	-3.248126166517084	275	1
CD8+ Texh	PDCD1LG2	50	-3.321928024291992	50	1
Mast	PDCD1LG2	20	-3.321928024291992	20	1
Plasma cell	PDCD1LG2	9	-2.9172474443912506	9	1
Tgd	PRF1	733	1.881691219861966	733	1
CD8+ Tmem	PRF1	1547	-0.6279428630161841	1547	1
cDC	PRF1	31	-3.2003257986037963	31	1
Mono/Mφ	PRF1	396	-3.2564539581236214	396	1
CD4+ Tconv	PRF1	1876	-2.5833764111817774	1876	1
NK	PRF1	247	3.5208145201447523	247	1
Neutrophil	PRF1	403	-3.2821038769137476	403	1
CD8+ Teff	PRF1	120	2.113317000865936	120	1
B cell	PRF1	353	-3.263757249451224	353	1
pDC	PRF1	78	-3.149798278625195	78	1
CD4+ Treg	PRF1	275	-2.088796952421015	275	1
CD8+ Texh	PRF1	50	1.5544424867630005	50	1
Mast	PRF1	20	-3.321928024291992	20	1
Plasma cell	PRF1	9	-3.321928024291992	9	1
Tgd	SELP	733	-3.3148815108191267	733	1
CD8+ Tmem	SELP	1547	-3.3088054539083123	1547	1
cDC	SELP	31	-3.321928024291992	31	1
Mono/Mφ	SELP	396	-3.321928024291992	396	1
CD4+ Tconv	SELP	1876	-3.3106306659133193	1876	1
NK	SELP	247	-3.321928024291992	247	1
Neutrophil	SELP	403	-3.321928024291992	403	1
CD8+ Teff	SELP	120	-3.321928024291992	120	1
B cell	SELP	353	-3.305377828500764	353	1
pDC	SELP	78	-3.321928024291992	78	1
CD4+ Treg	SELP	275	-3.249457298192111	275	1
CD8+ Texh	SELP	50	-3.321928024291992	50	1
Mast	SELP	20	-3.321928024291992	20	1
Plasma cell	SELP	9	-3.321928024291992	9	1
Tgd	SLAMF7	733	-2.4182101213265246	733	1
CD8+ Tmem	SLAMF7	1547	-2.4693852969154513	1547	1
cDC	SLAMF7	31	-1.2452474928671313	31	1
Mono/Mφ	SLAMF7	396	-2.6680063426193565	396	1
CD4+ Tconv	SLAMF7	1876	-3.261561203295234	1876	1
NK	SLAMF7	247	-2.3968777574508295	247	1
Neutrophil	SLAMF7	403	-3.185512375890765	403	1
CD8+ Teff	SLAMF7	120	-2.1258365362882614	120	1
B cell	SLAMF7	353	-3.277661765263371	353	1
pDC	SLAMF7	78	-0.5197266447238433	78	1
CD4+ Treg	SLAMF7	275	-3.2296176559274845	275	1
CD8+ Texh	SLAMF7	50	-1.5984313011169433	50	1
Mast	SLAMF7	20	-3.321928024291992	20	1
Plasma cell	SLAMF7	9	-0.26610251267751056	9	1
Tgd	TGFB1	733	-1.3894782202956133	733	1
CD8+ Tmem	TGFB1	1547	-1.1596695707163351	1547	1
cDC	TGFB1	31	-1.2483255411348035	31	1
Mono/Mφ	TGFB1	396	-1.3594562399266945	396	1
CD4+ Tconv	TGFB1	1876	-1.2840449098648548	1876	1
NK	TGFB1	247	-0.09017025145441897	247	1
Neutrophil	TGFB1	403	-1.8605202167264876	403	1
CD8+ Teff	TGFB1	120	0.22913835843404134	120	1
B cell	TGFB1	353	-1.0323658080681863	353	1
pDC	TGFB1	78	-0.7122668776756678	78	1
CD4+ Treg	TGFB1	275	-1.8798712051998485	275	1
CD8+ Texh	TGFB1	50	-0.18112848043441773	50	1
Mast	TGFB1	20	-0.6713921964168549	20	1
Plasma cell	TGFB1	9	-1.1618800825542874	9	1
Tgd	TIGIT	733	-2.784396665158083	733	1
CD8+ Tmem	TIGIT	1547	-1.2890962617737907	1547	1
cDC	TIGIT	31	-3.321928024291992	31	1
Mono/Mφ	TIGIT	396	-3.2764282154314444	396	1
CD4+ Tconv	TIGIT	1876	-2.294743180688002	1876	1
NK	TIGIT	247	-1.948719279486158	247	1
Neutrophil	TIGIT	403	-3.321928024291992	403	1
CD8+ Teff	TIGIT	120	-1.4482365359862646	120	1
B cell	TIGIT	353	-3.261638592390433	353	1
pDC	TIGIT	78	-3.198887832653828	78	1
CD4+ Treg	TIGIT	275	1.6957946556264705	275	1
CD8+ Texh	TIGIT	50	0.5056740581989289	50	1
Mast	TIGIT	20	-3.321928024291992	20	1
Plasma cell	TIGIT	9	-3.321928024291992	9	1
Tgd	TLR4	733	-3.321928024291992	733	1
CD8+ Tmem	TLR4	1547	-3.321928024291992	1547	1
cDC	TLR4	31	-2.740129309315835	31	1
Mono/Mφ	TLR4	396	-2.5888015857399114	396	1
CD4+ Tconv	TLR4	1876	-3.321928024291992	1876	1
NK	TLR4	247	-3.321928024291992	247	1
Neutrophil	TLR4	403	-2.3322159114014127	403	1
CD8+ Teff	TLR4	120	-3.321928024291992	120	1
B cell	TLR4	353	-3.3034919409171044	353	1
pDC	TLR4	78	-3.321928024291992	78	1
CD4+ Treg	TLR4	275	-3.321928024291992	275	1
CD8+ Texh	TLR4	50	-3.321928024291992	50	1
Mast	TLR4	20	-3.0233976006507874	20	1
Plasma cell	TLR4	9	-3.321928024291992	9	1
Tgd	TNF	733	-3.244962500029664	733	1
CD8+ Tmem	TNF	1547	-3.0319954123740516	1547	1
cDC	TNF	31	-2.8689151175560488	31	1
Mono/Mφ	TNF	396	-2.9702630068617637	396	1
CD4+ Tconv	TNF	1876	-2.9005760081541307	1876	1
NK	TNF	247	-3.2934130772887937	247	1
Neutrophil	TNF	403	-3.195405177975411	403	1
CD8+ Teff	TNF	120	-2.796308375398318	120	1
B cell	TNF	353	-3.0377458013150913	353	1
pDC	TNF	78	-3.2035542787649693	78	1
CD4+ Treg	TNF	275	-2.903740458921953	275	1
CD8+ Texh	TNF	50	-3.321928024291992	50	1
Mast	TNF	20	-2.985478389263153	20	1
Plasma cell	TNF	9	-2.8079736497667103	9	1
Tgd	TNFRSF14	733	-2.065311556623545	733	1
CD8+ Tmem	TNFRSF14	1547	-1.54167668545485	1547	1
cDC	TNFRSF14	31	-1.0809993234372908	31	1
Mono/Mφ	TNFRSF14	396	-1.8109863320685395	396	1
CD4+ Tconv	TNFRSF14	1876	-1.6831148913356542	1876	1
NK	TNFRSF14	247	-2.084656549610107	247	1
Neutrophil	TNFRSF14	403	-2.510766729823413	403	1
CD8+ Teff	TNFRSF14	120	-1.496958496173223	120	1
B cell	TNFRSF14	353	-1.2635938233086474	353	1
pDC	TNFRSF14	78	-1.6830705495981069	78	1
CD4+ Treg	TNFRSF14	275	-1.022451455376365	275	1
CD8+ Texh	TNFRSF14	50	-1.0428468775749207	50	1
Mast	TNFRSF14	20	-3.0636488437652587	20	1
Plasma cell	TNFRSF14	9	-2.250499129295349	9	1
Tgd	TNFRSF18	733	0.05322506970955925	733	1
CD8+ Tmem	TNFRSF18	1547	-2.9280782173199276	1547	1
cDC	TNFRSF18	31	-3.0389458921647843	31	1
Mono/Mφ	TNFRSF18	396	-3.093329710340259	396	1
CD4+ Tconv	TNFRSF18	1876	-2.2103264079228646	1876	1
NK	TNFRSF18	247	-1.1197326772126108	247	1
Neutrophil	TNFRSF18	403	-3.284878155729611	403	1
CD8+ Teff	TNFRSF18	120	-3.098037266731262	120	1
B cell	TNFRSF18	353	-3.2166691029038037	353	1
pDC	TNFRSF18	78	-3.104909238142845	78	1
CD4+ Treg	TNFRSF18	275	1.5032255487008528	275	1
CD8+ Texh	TNFRSF18	50	-2.9592373871803286	50	1
Mast	TNFRSF18	20	-2.966900277137756	20	1
Plasma cell	TNFRSF18	9	-3.321928024291992	9	1
Tgd	TNFRSF4	733	-2.160223748641645	733	1
CD8+ Tmem	TNFRSF4	1547	-2.93553916970298	1547	1
cDC	TNFRSF4	31	-3.1839708705102243	31	1
Mono/Mφ	TNFRSF4	396	-3.14624900242897	396	1
CD4+ Tconv	TNFRSF4	1876	-1.4458551058954776	1876	1
NK	TNFRSF4	247	-2.78752863407135	247	1
Neutrophil	TNFRSF4	403	-3.303737163543701	403	1
CD8+ Teff	TNFRSF4	120	-3.2300737659136454	120	1
B cell	TNFRSF4	353	-3.286591076648269	353	1
pDC	TNFRSF4	78	-2.7557531472964163	78	1
CD4+ Treg	TNFRSF4	275	1.4523881712826816	275	1
CD8+ Texh	TNFRSF4	50	-2.635326404571533	50	1
Mast	TNFRSF4	20	-1.784036147594452	20	1
Plasma cell	TNFRSF4	9	-3.321928024291992	9	1
Tgd	TNFRSF9	733	-3.1116788748341726	733	1
CD8+ Tmem	TNFRSF9	1547	-1.7826072933139074	1547	1
cDC	TNFRSF9	31	-2.82728531283717	31	1
Mono/Mφ	TNFRSF9	396	-3.255887021169518	396	1
CD4+ Tconv	TNFRSF9	1876	-3.1434998994570043	1876	1
NK	TNFRSF9	247	-2.777025358396986	247	1
Neutrophil	TNFRSF9	403	-3.2755947089372732	403	1
CD8+ Teff	TNFRSF9	120	-2.65805407166481	120	1
B cell	TNFRSF9	353	-3.30679837840137	353	1
pDC	TNFRSF9	78	-3.2570600647192736	78	1
CD4+ Treg	TNFRSF9	275	-0.8996401997046037	275	1
CD8+ Texh	TNFRSF9	50	-1.250989284515381	50	1
Mast	TNFRSF9	20	-2.7863431215286254	20	1
Plasma cell	TNFRSF9	9	-3.321928024291992	9	1
Tgd	TNFSF4	733	-3.1236628201290824	733	1
CD8+ Tmem	TNFSF4	1547	-3.2256452789904615	1547	1
cDC	TNFSF4	31	-3.321928024291992	31	1
Mono/Mφ	TNFSF4	396	-3.321928024291992	396	1
CD4+ Tconv	TNFSF4	1876	-3.2350681452100467	1876	1
NK	TNFSF4	247	-3.2097060236371	247	1
Neutrophil	TNFSF4	403	-3.321928024291992	403	1
CD8+ Teff	TNFSF4	120	-3.27955057322979	120	1
B cell	TNFSF4	353	-3.250325819588248	353	1
pDC	TNFSF4	78	-3.25691434664604	78	1
CD4+ Treg	TNFSF4	275	-3.2376416301727295	275	1
CD8+ Texh	TNFSF4	50	-3.2322200965881347	50	1
Mast	TNFSF4	20	-3.321928024291992	20	1
Plasma cell	TNFSF4	9	-3.321928024291992	9	1
Tgd	TNFSF9	733	-3.314311726194124	733	1
CD8+ Tmem	TNFSF9	1547	-2.205741726049856	1547	1
cDC	TNFSF9	31	-2.9048452608046995	31	1
Mono/Mφ	TNFSF9	396	-3.205808613637481	396	1
CD4+ Tconv	TNFSF9	1876	-3.183643188303722	1876	1
NK	TNFSF9	247	-3.071995292115308	247	1
Neutrophil	TNFSF9	403	-3.3019926530255868	403	1
CD8+ Teff	TNFSF9	120	-2.818702988823255	120	1
B cell	TNFSF9	353	-2.977338300548262	353	1
pDC	TNFSF9	78	-2.796160551217886	78	1
CD4+ Treg	TNFSF9	275	-3.1035029714757747	275	1
CD8+ Texh	TNFSF9	50	-1.598362966775894	50	1
Mast	TNFSF9	20	-3.321928024291992	20	1
Plasma cell	TNFSF9	9	-2.8232554064856634	9	1
Tgd	VEGFA	733	-3.3142962898108674	733	1
CD8+ Tmem	VEGFA	1547	-3.284373936918218	1547	1
cDC	VEGFA	31	-2.3249880008159147	31	1
Mono/Mφ	VEGFA	396	-2.364698482432751	396	1
CD4+ Tconv	VEGFA	1876	-3.2802805244160105	1876	1
NK	VEGFA	247	-3.0767608741034382	247	1
Neutrophil	VEGFA	403	-2.7957526655410123	403	1
CD8+ Teff	VEGFA	120	-3.2396634111801785	120	1
B cell	VEGFA	353	-3.3068748239754955	353	1
pDC	VEGFA	78	-3.321928024291992	78	1
CD4+ Treg	VEGFA	275	-3.303163619474931	275	1
CD8+ Texh	VEGFA	50	-3.1970121574401857	50	1
Mast	VEGFA	20	-2.135213303565979	20	1
