cell_type	gene	counts	avg	Freq	perc_expr
CD8+ Tmem	CD274	1547	-3.2557109620544935	1547	1
cDC	CD274	31	-2.842011805503599	31	1
Mono/Mφ	CD274	396	-3.1705202153987355	396	1
CD4+ Tconv	CD274	1876	-3.272640529599017	1876	1
NK	CD274	247	-3.2836153758199593	247	1
Neutrophil	CD274	403	-3.119878519261741	403	1
CD8+ Teff	CD274	120	-3.271026970942815	120	1
B cell	CD274	353	-3.321928024291992	353	1
pDC	CD274	78	-3.321928024291992	78	1
CD4+ Treg	CD274	275	-3.1407404548471622	275	1
CD8+ Texh	CD274	50	-3.321928024291992	50	1
Mast	CD274	20	-3.065292680263519	20	1
Plasma cell	CD274	9	-3.321928024291992	9	1
Tgd	CD276	733	-3.3142603920394045	733	1
CD8+ Tmem	CD276	1547	-3.3114854827879627	1547	1
cDC	CD276	31	-3.064447856718494	31	1
Mono/Mφ	CD276	396	-3.2376482902151165	396	1
CD4+ Tconv	CD276	1876	-3.2986257208435776	1876	1
NK	CD276	247	-3.321928024291992	247	1
Neutrophil	CD276	403	-3.2841794413904988	403	1
CD8+ Teff	CD276	120	-3.321928024291992	120	1
B cell	CD276	353	-3.253390358797889	353	1
pDC	CD276	78	-3.321928024291992	78	1
CD4+ Treg	CD276	275	-3.304212132367221	275	1
CD8+ Texh	CD276	50	-3.321928024291992	50	1
Mast	CD276	20	-3.321928024291992	20	1
Plasma cell	CD276	9	-2.8079736497667103	9	1
Tgd	CD28	733	-3.2944364479424033	733	1
CD8+ Tmem	CD28	1547	-2.5377332052648183	1547	1
cDC	CD28	31	-3.321928024291992	31	1
Mono/Mφ	CD28	396	-3.310081790191959	396	1
CD4+ Tconv	CD28	1876	-2.412785862649936	1876	1
NK	CD28	247	-3.321928024291992	247	1
Neutrophil	CD28	403	-3.3024301315951288	403	1
CD8+ Teff	CD28	120	-3.321928024291992	120	1
B cell	CD28	353	-3.321928024291992	353	1
pDC	CD28	78	-3.321928024291992	78	1
CD4+ Treg	CD28	275	-1.1132314636490561	275	1
CD8+ Texh	CD28	50	-2.024790575504303	50	1
Mast	CD28	20	-3.321928024291992	20	1
Plasma cell	CD28	9	-3.321928024291992	9	1
Tgd	CD40	733	-3.2571862753872005	733	1
CD8+ Tmem	CD40	1547	-3.2556180288195224	1547	1
cDC	CD40	31	-0.2817049728285882	31	1
Mono/Mφ	CD40	396	-2.5798228696139174	396	1
CD4+ Tconv	CD40	1876	-3.270935257169992	1876	1
NK	CD40	247	-3.257133506087639	247	1
Neutrophil	CD40	403	-3.321928024291992	403	1
CD8+ Teff	CD40	120	-3.321928024291992	120	1
B cell	CD40	353	-0.8436570343147256	353	1
pDC	CD40	78	-2.749873468509087	78	1
CD4+ Treg	CD40	275	-3.1144979320872914	275	1
CD8+ Texh	CD40	50	-3.321928024291992	50	1
Mast	CD40	20	-3.0633791625499724	20	1
Plasma cell	CD40	9	-1.9868860807683733	9	1
Tgd	CD40LG	733	-3.300769237834467	733	1
CD8+ Tmem	CD40LG	1547	-3.188114132354085	1547	1
cDC	CD40LG	31	-3.321928024291992	31	1
Mono/Mφ	CD40LG	396	-3.267621515375195	396	1
CD4+ Tconv	CD40LG	1876	-2.0941041268583045	1876	1
NK	CD40LG	247	-3.321928024291992	247	1
Neutrophil	CD40LG	403	-3.302329947279937	403	1
CD8+ Teff	CD40LG	120	-3.1603803714116414	120	1
B cell	CD40LG	353	-3.321928024291992	353	1
pDC	CD40LG	78	-3.2639279793470335	78	1
CD4+ Treg	CD40LG	275	-2.8707897819172254	275	1
CD8+ Texh	CD40LG	50	-3.1444650220870973	50	1
Mast	CD40LG	20	-3.321928024291992	20	1
Plasma cell	CD40LG	9	-3.321928024291992	9	1
Tgd	CD70	733	-2.9404423846717096	733	1
CD8+ Tmem	CD70	1547	-2.5896649389938915	1547	1
cDC	CD70	31	-2.661369381412383	31	1
Mono/Mφ	CD70	396	-3.3085991056880566	396	1
CD4+ Tconv	CD70	1876	-2.712031727088794	1876	1
NK	CD70	247	-3.1656568267567438	247	1
Neutrophil	CD70	403	-3.3071461510717426	403	1
CD8+ Teff	CD70	120	-2.881610436240832	120	1
B cell	CD70	353	-2.6917176908541673	353	1
pDC	CD70	78	-3.321928024291992	78	1
CD4+ Treg	CD70	275	-2.742032599665902	275	1
CD8+ Texh	CD70	50	-2.400846234560013	50	1
Mast	CD70	20	-3.321928024291992	20	1
Plasma cell	CD70	9	-2.1132516066233316	9	1
